content,sentimen,aspek,content_clean,content_casefolded,content_normalized,content_stopword,content_tokens,clean_text,content_stemmed
LEBIH simpel BNI MOBILE. MAKSUDNYA APA YAH nasabah di suruh migrasi fungsinya sama aja sama BNI mobile. BUMN Oh BUMN,Negative,Tampilan,LEBIH simpel BNI MOBILE MAKSUDNYA APA YAH nasabah di suruh migrasi fungsinya sama aja sama BNI mobile BUMN Oh BUMN,lebih simpel bni mobile maksudnya apa yah nasabah di suruh migrasi fungsinya sama aja sama bni mobile bumn oh bumn,lebih simpel bni mobile maksudnya apa ya nasabah di suruh migrasi fungsinya sama saja sama bni mobile BUMN oh BUMN,lebih simpel mobile maksudnya nasabah suruh migrasi fungsinya mobile BUMN oh BUMN,"['lebih', 'simpel', 'mobile', 'maksudnya', 'nasabah', 'suruh', 'migrasi', 'fungsinya', 'mobile', 'BUMN', 'oh', 'BUMN']",lebih simpel mobile maksudnya nasabah suruh migrasi fungsinya mobile BUMN oh BUMN,"['lebih', 'simpel', 'mobile', 'maksud', 'nasabah', 'suruh', 'migrasi', 'fungsi', 'mobile', 'bumn', 'oh', 'bumn']"
Lebih simpel dari aplikasi BNI sebelumnya,Positive,Tampilan,Lebih simpel dari aplikasi BNI sebelumnya,lebih simpel dari aplikasi bni sebelumnya,lebih simpel dari aplikasi bni sebelumnya,lebih simpel,"['lebih', 'simpel']",lebih simpel,"['lebih', 'simpel']"
"Wah, notifikasi terkait konfirmasi transaksi lama dan kadang reciept/riwayat transaksi yg terjadi ga ke track. Justru lebih baik di app sebelumnya, bnimobile. Tampilannya memang lebih menarik tapi untuk penggunaannya masih cukup merepotkan dan membingungkan. Tidak senyaman itu.",Positive,Tampilan,Wah notifikasi terkait konfirmasi transaksi lama dan kadang recieptriwayat transaksi yg terjadi ga ke track Justru lebih baik di app sebelumnya bnimobile Tampilannya memang lebih menarik tapi untuk penggunaannya masih cukup merepotkan dan membingungkan Tidak senyaman itu,wah notifikasi terkait konfirmasi transaksi lama dan kadang recieptriwayat transaksi yg terjadi ga ke track justru lebih baik di app sebelumnya bnimobile tampilannya memang lebih menarik tapi untuk penggunaannya masih cukup merepotkan dan membingungkan tidak senyaman itu,wah notifikasi terkait konfirmasi transaksi lama dan kadang recieptriwayat transaksi yang terjadi tidak ke track justru lebih baik di app sebelumnya bnimobile tampilannya memang lebih menarik tapi untuk penggunaannya masih cukup merepotkan dan membingungkan tidak senyaman itu,notifikasi terkait konfirmasi transaksi lama kadang recieptriwayat transaksi tidak track lebih baik app bnimobile tampilannya lebih menarik penggunaannya masih merepotkan membingungkan tidak senyaman,"['notifikasi', 'terkait', 'konfirmasi', 'transaksi', 'lama', 'kadang', 'recieptriwayat', 'transaksi', 'tidak', 'track', 'lebih', 'baik', 'app', 'bnimobile', 'tampilannya', 'lebih', 'menarik', 'penggunaannya', 'masih', 'merepotkan', 'membingungkan', 'tidak', 'senyaman']",notifikasi terkait konfirmasi transaksi lama kadang recieptriwayat transaksi tidak track lebih baik app bnimobile tampilannya lebih menarik penggunaannya masih merepotkan membingungkan tidak senyaman,"['notifikasi', 'kait', 'konfirmasi', 'transaksi', 'lama', 'kadang', 'recieptriwayat', 'transaksi', 'tidak', 'track', 'lebih', 'baik', 'app', 'bnimobile', 'tampil', 'lebih', 'menarik', 'guna', 'masih', 'repot', 'bingung', 'tidak', 'nyaman']"
"Lebih simpel fiturÂ² nya, tapi belum ada fitur tarik tunai langsung",Positive,Tampilan,Lebih simpel fitur nya tapi belum ada fitur tarik tunai langsung,lebih simpel fitur nya tapi belum ada fitur tarik tunai langsung,lebih simpel fitur ya tapi belum ada fitur tarik tunai langsung,lebih simpel fitur belum fitur tarik tunai langsung,"['lebih', 'simpel', 'fitur', 'belum', 'fitur', 'tarik', 'tunai', 'langsung']",lebih simpel fitur belum fitur tarik tunai langsung,"['lebih', 'simpel', 'fitur', 'belum', 'fitur', 'tarik', 'tunai', 'langsung']"
Keren Sih tapi gak ada bonus nya,Positive,Tampilan,Keren Sih tapi gak ada bonus nya,keren sih tapi gak ada bonus nya,keren sih tapi tidak ada bonus ya,keren sih tidak bonus,"['keren', 'sih', 'tidak', 'bonus']",keren sih tidak bonus,"['keren', 'sih', 'tidak', 'bonus']"
"Aplikasi Bank yang paling buruk, sering error, sering minta verifikasi wajah, namun sensor wajah dari aplikasi ini sangat buruk jadinya verifikasi wajah pun gagal dan HARUS DIULANG KEESOKAN HARINYA ! Tampilan menu didalamnya ribet dan rumit. Pengalaman paling buruk menggunakan aplikasi Bank BNI ini !!",Negative,Tampilan,Aplikasi Bank yang paling buruk sering error sering minta verifikasi wajah namun sensor wajah dari aplikasi ini sangat buruk jadinya verifikasi wajah pun gagal dan HARUS DIULANG KEESOKAN HARINYA  Tampilan menu didalamnya ribet dan rumit Pengalaman paling buruk menggunakan aplikasi Bank BNI ini,aplikasi bank yang paling buruk sering error sering minta verifikasi wajah namun sensor wajah dari aplikasi ini sangat buruk jadinya verifikasi wajah pun gagal dan harus diulang keesokan harinya  tampilan menu didalamnya ribet dan rumit pengalaman paling buruk menggunakan aplikasi bank bni ini,aplikasi bank yang paling buruk sering error sering meminta verifikasi wajah namun sensor wajah dari aplikasi ini sangat buruk jadinya verifikasi wajah pun gagal dan harus diulang keesokan harinya tampilan menu didalamnya rumit dan rumit pengalaman paling buruk menggunakan aplikasi bank bni ini,bank buruk sering error sering verifikasi wajah sensor wajah sangat buruk verifikasi wajah gagal diulang keesokan harinya tampilan menu didalamnya rumit rumit pengalaman buruk bank,"['bank', 'buruk', 'sering', 'error', 'sering', 'verifikasi', 'wajah', 'sensor', 'wajah', 'sangat', 'buruk', 'verifikasi', 'wajah', 'gagal', 'diulang', 'keesokan', 'harinya', 'tampilan', 'menu', 'didalamnya', 'rumit', 'rumit', 'pengalaman', 'buruk', 'bank']",bank buruk sering error sering verifikasi wajah sensor wajah sangat buruk verifikasi wajah gagal diulang keesokan harinya tampilan menu didalamnya rumit rumit pengalaman buruk bank,"['bank', 'buruk', 'sering', 'error', 'sering', 'verifikasi', 'wajah', 'sensor', 'wajah', 'sangat', 'buruk', 'verifikasi', 'wajah', 'gagal', 'ulang', 'esok', 'hari', 'tampilan', 'menu', 'dalam', 'rumit', 'rumit', 'alam', 'buruk', 'bank']"
"Bagus tampilan nya,tpi untuk mobile tunai belom tersedia semoga kedepan nya ada",Positive,Tampilan,Bagus tampilan nya tpi untuk mobile tunai belom tersedia semoga kedepan nya ada,bagus tampilan nya tpi untuk mobile tunai belom tersedia semoga kedepan nya ada,bagus tampilan ya tapi untuk mobile tunai belum tersedia semoga kedepan ya ada,bagus tampilan mobile tunai belum tersedia semoga kedepan,"['bagus', 'tampilan', 'mobile', 'tunai', 'belum', 'tersedia', 'semoga', 'kedepan']",bagus tampilan mobile tunai belum tersedia semoga kedepan,"['bagus', 'tampilan', 'mobile', 'tunai', 'belum', 'sedia', 'moga', 'depan']"
"Untuk karakter password harap di tambah, password sangat rentan. Tampilan ui aplikasi biasa aja. Tidak proposional",Negative,Tampilan,Untuk karakter password harap di tambah password sangat rentan Tampilan ui aplikasi biasa aja Tidak proposional,untuk karakter password harap di tambah password sangat rentan tampilan ui aplikasi biasa aja tidak proposional,untuk karakter password harap di tambah password sangat rentan tampilan ui aplikasi biasa saja tidak proposional,karakter password harap password sangat rentan tampilan ui tidak proposional,"['karakter', 'password', 'harap', 'password', 'sangat', 'rentan', 'tampilan', 'ui', 'tidak', 'proposional']",karakter password harap password sangat rentan tampilan ui tidak proposional,"['karakter', 'password', 'harap', 'password', 'sangat', 'rentan', 'tampilan', 'ui', 'tidak', 'proposional']"
Wondr by BNI keren tapi masih kurang sampai sekali pembukaan rekening Life Goals belum bisa dan selalu keterangan Ada sedikit kendala..,Positive,Tampilan,Wondr by BNI keren tapi masih kurang sampai sekali pembukaan rekening Life Goals belum bisa dan selalu keterangan Ada sedikit kendala,wondr by bni keren tapi masih kurang sampai sekali pembukaan rekening life goals belum bisa dan selalu keterangan ada sedikit kendala,wondr by bni keren tapi masih kurang sampai sekali pembukaan rekening life goals belum bisa dan selalu keterangan ada sedikit kendala,keren masih kurang pembukaan rekening life goals belum bisa keterangan kendala,"['keren', 'masih', 'kurang', 'pembukaan', 'rekening', 'life', 'goals', 'belum', 'bisa', 'keterangan', 'kendala']",keren masih kurang pembukaan rekening life goals belum bisa keterangan kendala,"['keren', 'masih', 'kurang', 'buka', 'rekening', 'life', 'goals', 'belum', 'bisa', 'terang', 'kendala']"
Repot sekali wonder ini bikin susah login... Malas aku sebenarnya pakai BNI wonder ini bagus dan simpel pakai BNI biasa... Mau isi token listri ja harus di wonder... Ahkkk repot...,Negative,Tampilan,Repot sekali wonder ini bikin susah login Malas aku sebenarnya pakai BNI wonder ini bagus dan simpel pakai BNI biasa Mau isi token listri ja harus di wonder Ahkkk repot,repot sekali wonder ini bikin susah login malas aku sebenarnya pakai bni wonder ini bagus dan simpel pakai bni biasa mau isi token listri ja harus di wonder ahkkk repot,repot sekali Wondr ini membuat susah login malas aku sebenarnya pakai bni Wondr ini bagus dan simpel pakai bni biasa mau isi token listrik saja harus di Wondr ahkkk repot,repot Wondr susah login malas pakai Wondr bagus simpel pakai isi token listrik Wondr ahkkk repot,"['repot', 'Wondr', 'susah', 'login', 'malas', 'pakai', 'Wondr', 'bagus', 'simpel', 'pakai', 'isi', 'token', 'listrik', 'Wondr', 'ahkkk', 'repot']",repot Wondr susah login malas pakai Wondr bagus simpel pakai isi token listrik Wondr ahkkk repot,"['repot', 'wondr', 'susah', 'login', 'malas', 'pakai', 'wondr', 'bagus', 'simpel', 'pakai', 'isi', 'token', 'listrik', 'wondr', 'ahkkk', 'repot']"
